,Date,Acid/Fusion/POP,Drama_OST,Classic,Indie_Music,Music_OST,Ballad,Dance,Rock/Metal,R&B/Soul,Electronica,Rap/Hiphop,EDM,POP,J-POP,Adults_Music,Jazz,Newage,Folk/Blues,Ani/GameOST,-
20,2001-09,,,,,,,,,10.44776119402985,,,0.0,0.0,0.0,,,,,,0.0
21,2001-10,,,,,,,,,8.196721311475411,,,0.0,0.0,0.0,,,,,,0.0
22,2001-11,,,,,,,,,7.575757575757576,,,0.0,0.0,0.0,,,,,,0.0
23,2001-12,,,,,,,,,6.849315068493151,,,0.0,0.0,0.0,,,,,,1.3698630136986298
24,2002-01,,,,,,,,,5.882352941176469,,,0.0,0.0,0.0,,,,,,1.4705882352941175
25,2002-02,,,,,,,,,6.153846153846153,,,0.0,0.0,0.0,,,,,,0.0
26,2002-03,,,,,,,,,3.3898305084745757,,,0.0,0.0,0.0,,,,,,0.0
27,2002-04,,,,,,,,,3.3898305084745757,,,0.0,0.0,0.0,,,,,,0.0
28,2002-05,,,,,,,,,4.615384615384616,,,0.0,0.0,0.0,,,,,,0.0
29,2002-06,,,,,,,,,3.278688524590164,,,0.0,0.0,0.0,,,,,,0.0
30,2002-07,,,,,,,,,3.2258064516129035,,,0.0,0.0,0.0,,,,,,0.0
31,2002-08,,,,,,,,,5.172413793103448,,,0.0,0.0,0.0,,,,,,0.0
32,2002-09,,,,,,,,,7.042253521126762,,,0.0,0.0,0.0,,,,,,0.0
33,2002-10,,,,,,,,,7.4626865671641776,,,0.0,0.0,0.0,,,,,,0.0
34,2002-11,,,,,,,,,6.451612903225807,,,0.0,0.0,0.0,,,,,,0.0
35,2002-12,,,,,,,,,9.459459459459461,,,0.0,0.0,0.0,,,,,,1.351351351351351
36,2003-01,,,,,,,,,10.44776119402985,,,0.0,0.0,0.0,,,,,,1.4925373134328357
37,2003-02,,,,,,,,,8.21917808219178,,,0.0,0.0,0.0,,,,,,1.3698630136986298
38,2003-03,,,,,,,,,8.21917808219178,,,0.0,0.0,0.0,,,,,,0.0
39,2003-04,,,,,,,,,7.142857142857142,,,0.0,0.0,0.0,,,,,,0.0
40,2003-05,,,,,,,,,7.246376811594202,,,0.0,0.0,0.0,,,,,,0.0
41,2003-06,,,,,,,,,7.6923076923076925,,,0.0,0.0,0.0,,,,,,0.0
42,2003-07,,,,,,,,,7.352941176470589,,,0.0,0.0,0.0,,,,,,0.0
43,2003-08,,,,,,,,,9.375,,,0.0,0.0,0.0,,,,,,0.0
44,2003-09,,,,,,,,,8.571428571428571,,,0.0,0.0,0.0,,,,,,0.0
45,2003-10,,,,,,,,,7.352941176470589,,,0.0,0.0,0.0,,,,,,0.0
46,2003-11,,,,,,,,,12.676056338028168,,,0.0,0.0,0.0,,,,,,0.0
47,2003-12,,,,,,,,,12.32876712328767,,,0.0,0.0,0.0,,,,,,0.0
48,2004-01,,,,,,,,,16.417910447761194,,,0.0,1.4925373134328357,0.0,,,,,,0.0
49,2004-02,,,,,,,,,12.345679012345679,,,0.0,1.2345679012345678,0.0,,,,,,0.0
50,2004-03,,,,,,,,,11.764705882352938,,,0.0,1.4705882352941175,0.0,,,,,,0.0
51,2004-04,,,,,,,,,13.333333333333336,,,0.0,1.3333333333333337,0.0,,,,,,0.0
52,2004-05,,,,,,,,,9.459459459459461,,,0.0,0.0,0.0,,,,,,1.351351351351351
53,2004-06,,,,,,,,,8.450704225352112,,,0.0,0.0,0.0,,,,,,1.4084507042253522
54,2004-07,,,,,,,,,9.210526315789473,,,0.0,0.0,0.0,,,,,,1.3157894736842104
55,2004-08,,,,,,,,,10.0,,,0.0,0.0,0.0,,,,,,1.4285714285714286
56,2004-09,,,,,,,,,16.0,,,0.0,0.0,0.0,,,,,,1.3333333333333337
57,2004-10,,,,,,,,,13.698630136986301,,,0.0,0.0,0.0,,,,,,0.0
58,2004-11,,,,,,,,,11.881188118811881,,,0.0,8.91089108910891,15.84158415841584,,,,,,4.950495049504951
59,2004-12,,,,,,,,,8.571428571428571,,,0.0,5.7142857142857135,0.9523809523809524,,,,,,1.9047619047619049
60,2005-01,,,,,,,,,16.19047619047619,,,0.0,5.7142857142857135,0.9523809523809524,,,,,,1.9047619047619049
61,2005-02,,,,,,,,,12.149532710280376,,,0.0,3.738317757009345,0.0,,,,,,1.8691588785046729
62,2005-03,,,,,,,,,11.428571428571427,,,0.0,5.7142857142857135,0.0,,,,,,2.8571428571428568
63,2005-04,,,,,,,,,10.784313725490195,,,0.0,5.882352941176469,0.0,,,,,,2.9411764705882346
64,2005-05,,,,,,,,,8.737864077669903,,,0.0,6.7961165048543695,0.0,,,,,,0.0
65,2005-06,,,,,,,,,13.761467889908257,,,0.0,3.669724770642202,0.0,,,,,,0.9174311926605504
66,2005-07,,,,,,,,,8.181818181818182,,,0.0,2.727272727272727,0.0,,,,,,0.0
67,2005-08,,,,,,,,,7.4074074074074066,,,0.0,1.851851851851852,0.0,,,,,,1.851851851851852
68,2005-09,,,,,,,,,32.075471698113205,,,0.0,1.8867924528301887,0.9433962264150944,,,,,,0.0
69,2005-10,,,,,,,,,25.47169811320755,,,0.0,3.7735849056603774,0.0,,,,,,0.0
70,2005-11,,,,,,,,,15.384615384615385,,,0.0,3.8461538461538463,0.0,,,,,,0.9615384615384616
71,2005-12,,,,,,,,,20.0,,,0.0,2.0,0.0,,,,,,3.0
72,2006-01,,,,,,,,,22.52252252252252,,,0.0,1.8018018018018016,0.0,,,,,,0.9009009009009008
73,2006-02,,,,,,,,,17.543859649122805,,,0.0,0.0,0.0,,,,,,0.8771929824561403
74,2006-03,,,,,,,,,21.296296296296298,,,0.0,1.851851851851852,0.0,,,,,,0.9259259259259258
75,2006-04,,,,,,,,,26.66666666666667,,,0.0,1.9047619047619049,0.9523809523809524,,,,,,0.9523809523809524
76,2006-05,,,,,,,,,22.549019607843142,,,0.0,3.92156862745098,0.0,,,,,,2.9411764705882346
77,2006-06,,,,,,,,,17.307692307692307,,,0.0,2.8846153846153846,0.0,,,,,,2.8846153846153846
78,2006-07,,,,,,,,,14.414414414414413,,,0.0,2.702702702702702,0.0,,,,,,0.0
79,2006-08,,,,,,,,,11.009174311926609,,,0.0,2.752293577981652,0.0,,,,,,0.9174311926605504
80,2006-09,,,,,,,,,9.433962264150944,,,0.0,0.0,0.0,,,,,,0.0
81,2006-10,,,,,,,,,8.333333333333332,,,0.0,0.9259259259259258,0.0,,,,,,0.0
82,2006-11,,,,,,,,,11.926605504587155,,,0.0,0.0,0.0,,,,,,0.0
83,2006-12,,,,,,,,,13.761467889908257,,,0.0,0.9174311926605504,0.0,,,,,,5.504587155963304
84,2007-01,,,,,,,,,10.810810810810812,,,0.0,0.9009009009009008,0.0,,,,,,3.603603603603604
85,2007-02,,,,,,,,,12.037037037037035,,,0.0,1.851851851851852,0.9259259259259258,,,,,,1.851851851851852
86,2007-03,,,,,,,,,8.181818181818182,,,0.0,2.727272727272727,0.0,,,,,,0.9090909090909092
87,2007-04,,,,,,,,,11.711711711711711,,,0.0,2.702702702702702,0.0,,,,,,2.702702702702702
88,2007-05,,,,,,,,,8.411214953271028,,,0.0,2.803738317757009,0.0,,,,,,0.9345794392523364
89,2007-06,,,,,,,,,10.280373831775698,,,0.0,0.9345794392523364,0.0,,,,,,0.0
90,2007-07,,,,,,,,,9.345794392523365,,,0.0,0.9345794392523364,0.0,,,,,,0.0
91,2007-08,,,,,,,,,8.695652173913043,,,0.0,1.7391304347826086,0.0,,,,,,0.0
92,2007-09,,,,,,,,,9.90990990990991,,,0.0,0.9009009009009008,0.0,,,,,,0.0
93,2007-10,,,,,,,,,9.433962264150944,,,0.0,1.8867924528301887,0.0,,,,,,0.0
94,2007-11,,,,,,,,,9.345794392523365,,,0.0,1.8691588785046729,0.0,,,,,,0.9345794392523364
